ERPCode,Material_Name,LogicalFlowPath,DateEnteredStep,Product_Name,Product_Description,DrawingProductNumber_Value,ERPProdSupervisor,ERPMRPController,Resource,Resource Description,ResourceType,Area_Name,Last_TrackIn_Service,ProductionOrder,ProductionOrderVersion,ERPOperation,Step_Name,PrimaryUnits,SecondaryUnits,Step_In_PrimaryQuantity,Step_In_Date,First_TrackIn_Date,First_TrackIn_PrimaryQuantity,First_TrackIn_User,Last_TrackIn_Date,Last_TrackIn_User,Last_TrackIn_PrimaryQuantity,Last_TrackIn_SecondaryQuantity,TrackOutDate,TrackOut_PrimaryQuantity,TrackOut_User,Last_Transaction_PrimaryQuantity,Last_Transaction_Date,Material_State,Step_Duration_Minute,Ordertype
1303,K24A2066,CZM 50210119/0010 CZM 线切割/CZM 线切割,47:37.7,858-957-11,FEMALE LEAF SPRING,858-957-11,CIN,210,CZM 769 线切割 WEDM,769 线切割 WEDM,,CZM 线切割 WEDM,CZM 线切割 WEDM,,,10,CZM 线切割,EA,,300,47:37.8,55:18.7,300,ENT\YANGZ48,55:18.7,ENT\YANGZ48,300,0,34:11.0,106,ENT\CHENS84,106,34:11.2,Processed,219939,
1303,K24A2066,CZM 50210119/0010 CZM 线切割/CZM 线切割,47:37.7,858-957-11,FEMALE LEAF SPRING,858-957-11,CIN,210,CZM 769 线切割 WEDM,769 线切割 WEDM,,CZM 线切割 WEDM,CZM 线切割 WEDM,228032737,PV01,10,CZM 线切割,EA,,300,47:37.8,55:18.7,300,ENT\YANGZ48,55:18.7,ENT\YANGZ48,300,0,34:11.0,106,ENT\CHENS84,106,34:11.2,Processed,219939,Production
1303,K24E3188-002,CZM 50213062/0060 CZM 线切割-慢丝（可外协）/CZM 线切割-慢丝（可外协）,31:55.5,M463501B125,RING GEAR-20mm INSERTER-4360120-06,4360120-06,CIN,208,,,,,,228926630,PV01,60,CZM 线切割-慢丝（可外协）,,,347,25:58.7,,,,,,,,25:59.0,347,ENT\YANGZ48,347,25:59.3,Processed,,Production
1303,K24L5078,CZM 50192380/0180 CZM 包装/CZM 包装,24:55.2,00643169523937,TRIAL 2150320 PLATE TRIAL 20MM,2150320,CIN,209,CZM M022 包装 Package,M022 包装 Package,,CZM 后处理 Post process,CZM 包装 Package,230210604,PV01,180,CZM 包装,EA,,106,24:55.2,42:56.4,106,ENT\ZHANGL67,42:56.4,ENT\ZHANGL67,106,0,24:00.8,106,ENT\ZHANGL67,106,24:00.9,Processed,42,Production
1303,K24L5078,CZM 50192380/0130 CZM 清洗/CZM 清洗,43:46.0,00643169523937,TRIAL 2150320 PLATE TRIAL 20MM,2150320,CIN,209,CZM 625 清洗线 Cleaning Line,625 清洗线 Cleaning Line,,CZM 后处理 Post process,CZM 清洗 Cleaning,230210604,PV01,130,CZM 清洗,EA,,114,43:46.0,19:21.2,114,ENT\ZHOUJ53,19:21.2,ENT\ZHOUJ53,114,0,19:24.8,114,ENT\ZHOUJ53,114,19:24.8,Processed,0,Production
1303,K24L5078,CZM 50192380/0150 CZM 激光打标/CZM 激光打标,20:36.4,00643169523937,TRIAL 2150320 PLATE TRIAL 20MM,2150320,CIN,209,CZM 867 激光打标机 Laser marking,867 激光打标机 Laser marking,,CZM 后处理 Post process,CZM 激光打标 Laser Marking,230210604,PV01,150,CZM 激光打标,EA,,114,20:36.4,20:57.4,114,ENT\ZHOUJ53,20:57.4,ENT\ZHOUJ53,114,0,21:01.2,114,ENT\ZHOUJ53,114,21:01.2,Processed,1,Production
1303,K24L5078,CZM 50192380/0160 CZM 点钝化/CZM 点钝化,21:04.5,00643169523937,TRIAL 2150320 PLATE TRIAL 20MM,2150320,CIN,209,CZM M023 点钝化 Spot Passivating,M023 点钝化 Spot Passivating,,CZM 后处理 Post process,CZM 局部钝化 Spot Passivating,230210604,PV01,160,CZM 点钝化,EA,,114,21:04.5,22:48.4,114,ENT\ZHOUJ53,22:48.4,ENT\ZHOUJ53,114,0,22:52.1,114,ENT\ZHOUJ53,114,22:52.1,Processed,0,Production
1303,K24L5078,CZM 50192380/0170 CZM 终检/CZM 终检,22:54.9,00643169523937,TRIAL 2150320 PLATE TRIAL 20MM,2150320,CIN,209,CZM Q002 器械终检 Instrument Final inspection,CZM Q002 器械终检 Instrument Final inspection,,CZM 检验 Inspection,CZM 终检 Final Inspection,230210604,PV01,170,CZM 终检,EA,,114,22:54.9,23:00.3,114,ENT\ZHOUJ53,23:00.3,ENT\ZHOUJ53,114,0,24:52.0,106,ENT\ZHOUJ53,106,24:52.0,Processed,1,Production
1303,K24L5078,CZM 50192380/0140 CZM 钝化/CZM 钝化,19:51.9,00643169523937,TRIAL 2150320 PLATE TRIAL 20MM,2150320,CIN,209,CZM 897 钝化线 Passivating line,897 钝化线 Passivating line,,CZM 后处理 Post process,CZM 钝化 Passivating,230210604,PV01,140,CZM 钝化,EA,,114,19:51.9,20:24.9,114,ENT\ZHOUJ53,20:24.9,ENT\ZHOUJ53,114,0,20:32.1,114,ENT\ZHOUJ53,114,20:32.2,Processed,0,Production
1303,K24M3344,CZM 50209204/0110 CZM 清洗/CZM 清洗,17:02.5,6550038-01,5.5/6.0 VOYAGER SAS INNER SHAFT,6550038-01,CIN,208,CZM M028 手工清洗 Manual cleaning,CZM 清洗 Cleaning,,CZM 后处理 Post process,CZM 清洗 Cleaning,230380016,PV01,110,CZM 清洗,EA,,34,17:02.5,36:24.4,34,ENT\FENGM6,36:24.4,ENT\FENGM6,34,0,53:56.1,34,ENT\FENGM6,34,53:56.2,Processed,17,Production
