Material Number,CFN,Group,Ver.,Plant,Group Counter,Sequence,Operation/activity,Operation description,Work Center,Base Quantity,Task list UOM,Machine,Unit (Machine),Labor,Unit (Labor),Fix lot size,Min lot size,Rounding Value,Max lot size
36136000-02,36136000-02,50267539,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,966.0,S,368.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,24.0,S,36.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,16.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,50,钝化,KPL08-03,1,EA,0.0,S,10.8,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,60,终检,I01-10,1,EA,0.0,S,131.4,S,0.0,30.0,0.0,150.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,499.0,S,214.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,13.85,S,27.69,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,16.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,30.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,50,钝化,KPL08-03,1,EA,0.0,S,11.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,60,终检,I01-10,1,EA,0.0,S,136.4,S,0.0,30.0,0.0,260.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,20,数控铣,KMC08-09,1,EA,270.0,S,130.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,30,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,40,清洗,C01-10,1,EA,0.0,S,30.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,50,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,60,阳极氧化（外协）,P01-10,1,EA,0.0,S,5.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,70,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
