分类         ,Material Number    ,CFN                ,Group    ,Ver. ,Plant ,Operation/activity ,Operation description ,OEE  ,调试时间   ,备注
KH转OEM 植入物 ,36136000-02        ,36136000-02        ,50267539 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36146000-02        ,36146000-02        ,50267540 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36147500-02        ,36147500-02        ,50267541 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36147500-02        ,36147500-02        ,50267541 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,非数控铣产品
KH转OEM 植入物 ,36147500-03        ,36147500-03        ,50267542 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36147500-04        ,36147500-04        ,50267502 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36148000-02        ,36148000-02        ,50267503 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36148000-02        ,36148000-02        ,50267503 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,非数控铣产品
KH转OEM 植入物 ,36148500-02        ,36148500-02        ,50267504 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36148500-02        ,36148500-02        ,50267504 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,非数控铣产品
KH转OEM 植入物 ,36170000-03        ,36170000-03        ,50267505 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36174000-02        ,36174000-02        ,50267507 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36174500-02        ,36174500-02        ,50267508 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36175000-02        ,36175000-02        ,50267509 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36175500-02        ,36175500-02        ,50267510 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36176500-02        ,36176500-02        ,50267512 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36177000-02        ,36177000-02        ,50267513 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36184000-02        ,36184000-02        ,50267514 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36184500-02        ,36184500-02        ,50267515 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36185000-02        ,36185000-02        ,50267516 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36185500-02        ,36185500-02        ,50267517 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36186500-02        ,36186500-02        ,50267519 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36187000-02        ,36187000-02        ,50267520 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
