Step_Name,Cleaned_Operation
#,#
1.0,1.0
10,10
10.0,10.0
100,100
100.0,100.0
1000,1000
1000.0,1000.0
105,105
105.0,105.0
108.0,108.0
110,110
110.0,110.0
115,115
115.0,115.0
118,118
118.0,118.0
120,120
120.0,120.0
122,122
122.0,122.0
125,125
125.0,125.0
127,127
127.0,127.0
128,128
128.0,128.0
130,130
130.0,130.0
131,131
131.0,131.0
132,132
135,135
135.0,135.0
136,136
136.0,136.0
137,137
137.0,137.0
138.0,138.0
140,140
140.0,140.0
145,145
145.0,145.0
148,148
148.0,148.0
15,15
15.0,15.0
150,150
150.0,150.0
155,155
155.0,155.0
158,158
158.0,158.0
160,160
160.0,160.0
165,165
165.0,165.0
168,168
168.0,168.0
17.0,17.0
170,170
170.0,170.0
175,175
175.0,175.0
178,178
178.0,178.0
18.0,18.0
180,180
180.0,180.0
185,185
185.0,185.0
188,188
188.0,188.0
19.0,19.0
190,190
190.0,190.0
195,195
195.0,195.0
198,198
198.0,198.0
20,20
20.0,20.0
200,200
200.0,200.0
21.0,21.0
210,210
210.0,210.0
220,220
220.0,220.0
23.0,23.0
230,230
230.0,230.0
24,24
24.0,24.0
25,25
25.0,25.0
26,26
26.0,26.0
27.0,27.0
28,28
28.0,28.0
30,30
30.0,30.0
31.0,31.0
35,35
35.0,35.0
36,36
36.0,36.0
37,37
37.0,37.0
38.0,38.0
40,40
40.0,40.0
42.0,42.0
45,45
45.0,45.0
46.0,46.0
47.0,47.0
48.0,48.0
5,5
5.0,5.0
50,50
50.0,50.0
53.0,53.0
55,55
55.0,55.0
57,57
57.0,57.0
58,58
58.0,58.0
60,60
60.0,60.0
65,65
65.0,65.0
67,67
67.0,67.0
68.0,68.0
7.0,7.0
70,70
70.0,70.0
75,75
75.0,75.0
77,77
77.0,77.0
8.0,8.0
80,80
80.0,80.0
85,85
85.0,85.0
87.0,87.0
88,88
88.0,88.0
9.0,9.0
90,90
90.0,90.0
95,95
95.0,95.0
97.0,97.0
98.0,98.0
ATP功能测试,ATP功能测试
ATP测试,ATP测试
EO残留检验,EO残留检验
EO灭菌(外协),EO灭菌(外协)
EO灭菌(外协)检验,EO灭菌(外协)检验
EO灭菌-外协,EO灭菌(外协)
EO灭菌（外协)检验 PII-J00874,EO灭菌(外协)检验
EO灭菌（外协） WI-346,EO灭菌(外协)
OEM装配(局部钝化),OEM装配(局部钝化)
OEM装配(清洗),OEM装配(清洗)
OEM装配(激光焊接),OEM装配(激光焊接)
OEM装配(终检),OEM装配(终检)
OEM装配(装配),OEM装配(装配)
OEM装配(钳工),OEM装配(钳工)
Preparation step,Preparation step
Split_Order,Split_Order
下料,锯
下料（可外协）,锯(外协)
五轴磨,五轴磨
五轴磨(可外协),五轴磨(外协)
五轴磨-苏州阿诺,五轴磨-苏州阿诺
五轴磨检验,五轴磨检验
五轴磨（可外协）,五轴磨(外协)
内包,内包
内包 PS-M046780C001-40,内包
内包 WI-040,内包
内包WI-040,内包
内包检验,内包检验
内包检验 PII-GM046780C001,内包检验
内包检验 PII-Q00011,内包检验
内包检验PII-Q00011,内包检验
冲,冲
冲 WI-054,冲
冲检验,冲检验
初洗,初洗
初洗 DMR-00019419,初洗
初洗 WI-004,初洗
初洗WI-004,初洗
功能测试,功能测试
包装,包装
包装  WI-ED-011,包装
包装 PS-36432000-02-60,包装
包装 PS-36432000-03-60,包装
包装 PS-36432000-50,包装
包装 PS-36432100-01-150,包装
包装 PS-608379-03-50,包装
包装 PS-608383-120,包装
包装 WI-102,包装
包装 WI-142,包装
包装(着色外协),包装(外协)
包装PS-231290-40,包装
包装PS-291320-90,包装
包装WI-102,包装
包装WI-142,包装
包装WI-ED-011,包装
包装检验,包装检验
包装检验   详细参见检验指导书,包装检验 详细参见检验指导书
包装检验 PII-G00808,包装检验
包装检验 PII-G02039,包装检验
包装检验 PII-G10750150(PS-A),包装检验
包装检验 PII-G137190-00,包装检验
