Step_Name,Cleaned_Operation
CZM 线切割,线切割
CZM 线切割,线切割
CZM 线切割-慢丝（可外协）,线切割
CZM 包装,包装
CZM 清洗,清洗
CZM 激光打标,激光打标
CZM 点钝化,点钝化
CZM 终检,终检
CZM 钝化,钝化
CZM 清洗,清洗
CZM 终检,终检
CZM 镀铬（外协）,镀铬
CZM 包装,包装
CZM 清洗,清洗
CZM 终检,终检
CZM 钝化,钝化
CZM 镀铬（外协）,镀铬
CZM 清洗,清洗
CZM 终检,终检
CZM 钝化,钝化
CZM 镀铬（外协）,镀铬
CZM 包装,包装
CZM 终检,终检
CZM 包装,包装
CZM 终检,终检
CZM 数控铣,数控铣
CZM 清洗,清洗
CZM 终检,终检
CZM 清洗,清洗
CZM 终检,终检
CZM 钝化,钝化
CZM 包装,包装
CZM 喷砂,喷砂
CZM 抛光,抛光
CZM 涂色,涂色
CZM 清洗,清洗
CZM 清洗,清洗
CZM 清洗,清洗
CZM 清洗,清洗
CZM 激光打标,激光打标
CZM 点钝化,点钝化
CZM 电解,电解
CZM 纵切车,纵切车
CZM 终检,终检
CZM 钝化,钝化
CZM 钳工,钳工
CZM 钳工,钳工
CZM 镀铬（外协）,镀铬
CZM 非真空热处理,非真空热处理
CZM 激光打标,激光打标
CZM 点钝化,点钝化
CZM 终检,终检
CZM 钝化,钝化
CZM 激光打标,激光打标
CZM 点钝化,点钝化
CZM 终检,终检
CZM 抛光,抛光
CZM 清洗,清洗
CZM 电火花（外协）,电火花
CZM 纵切车,纵切车
CZM 线切割,线切割
CZM 终检,终检
CZM 钳工,钳工
CZM 抛光,抛光
CZM 清洗,清洗
CZM 电火花（外协）,电火花
CZM 纵切车,纵切车
CZM 线切割,线切割
CZM 终检,终检
CZM 钳工,钳工
CZM 线切割,线切割
CZM 抛光,抛光
CZM 喷砂,喷砂
CZM 清洗,清洗
CZM 清洗,清洗
CZM 清洗,清洗
CZM 线切割,线切割
CZM 终检,终检
CZM 钝化,钝化
CZM 钳工,钳工
CZM 镀铬（外协）,镀铬
CZM 喷砂,喷砂
CZM 清洗,清洗
CZM 清洗,清洗
CZM 清洗,清洗
CZM 线切割,线切割
CZM 终检,终检
CZM 钝化,钝化
CZM 钳工,钳工
CZM 镀铬（外协）,镀铬
CZM 包装,包装
CZM 终检,终检
CZM 包装,包装
CZM 终检,终检
CZM 包装,包装
