Step_Name,Cleaned_Operation
#,#
ATP功能测试,ATP功能测试
ATP测试,ATP测试
CKH EO残留检测,EO残留检测
CKH EO灭菌-外协,EO灭菌
CKH 内包,内包
CKH 内包检验,内包检验
CKH 冲,冲
CKH 冲检验,冲检验
CKH 初洗,初洗
CKH 包装,包装
CKH 包装检验,包装检验
CKH 压型,压型
CKH 压型检验,压型检验
CKH 喷丸,喷丸
CKH 喷丸检验,喷丸检验
CKH 喷砂,喷砂
CKH 喷砂检验,喷砂检验
CKH 外包,外包
CKH 外包检验,外包检验
CKH 外协-机加工,外协-机加工
CKH 外协-机加工检验,外协-机加工检验
CKH 外协-注塑_装配,装配
CKH 外协-注塑_装配检验,外协-注塑_装配检验
CKH 外协-灭菌(EO),外协-灭菌(EO)
CKH 外协-灭菌(EO)进货检验,外协-灭菌(EO)进货检验
CKH 外协-灭菌(辐照),辐照灭菌
CKH 外协-灭菌(辐照)进货检验,外协-灭菌(辐照)进货检验
CKH 外协-灭菌进货检验,外协-灭菌进货检验
CKH 外协-热处理,非真空热处理
CKH 外协-热处理检验,外协-热处理检验
CKH 外协-着色,外协-着色
CKH 外协-着色检验,外协-着色检验
CKH 外协-硬质阳极氧化,阳极氧化
CKH 外协-磨,外协-磨
CKH 外协-钻(深孔),深孔钻
CKH 外协-钻(深孔)检验,外协-深孔钻检验
CKH 外协-阳极氧化,阳极氧化
CKH 外协-阳极氧化检验,外协-阳极氧化检验
CKH 局部钝化,钝化
CKH 打标,激光打标
CKH 打标(OEM),激光打标
CKH 打标_包装,激光打标
CKH 打标包装,激光打标
CKH 打标检验,打标检验
CKH 抛光,抛光
CKH 抛光检验,抛光检验
CKH 末道清洗,清洗
CKH 机加工检验,机加工检验
CKH 检验,检验
CKH 氩弧焊接,氩弧焊
CKH 水切割,水切割
CKH 水切割检验,水切割检验
CKH 注塑,注塑
CKH 注塑检验,注塑检验
CKH 涂色,涂色
CKH 涂色检验,涂色检验
CKH 清洗,清洗
CKH 清洗(末道),清洗
CKH 清洗检验,清洗检验
CKH 激光打标,激光打标
CKH 点钝化,点钝化
CKH 热处理,非真空热处理
CKH 热处理检验,热处理检验
CKH 热缩,热缩
CKH 热缩检验,热缩检验
CKH 焊接,焊接
CKH 焊接(氩弧焊),氩弧焊
CKH 焊接(氩弧焊)检验,焊接(氩弧焊)检验
CKH 焊接(激光焊),激光焊接
CKH 焊接(激光焊)检验,焊接(激光焊)检验
CKH 焊接检验,焊接检验
CKH 生产工单完成,生产工单完成
CKH 电解,电解
CKH 电解检验,电解检验
CKH 着色,着色
CKH 着色-外协,着色
CKH 着色检验,着色检验
CKH 研磨,研磨
CKH 研磨COS,研磨
CKH 研磨检验,研磨检验
CKH 硬质阳极氧化检验,硬质阳极氧化检验
CKH 磨(五轴),五轴磨
CKH 磨(五轴)检验,磨(五轴)检验
CKH 磨(工具),磨(工具)
CKH 磨(工具)检验,磨(工具)检验
CKH 磨(无心),磨(无心)
CKH 磨(无心)检验,磨(无心)检验
CKH 粘胶,粘胶
CKH 粘胶检验,粘胶检验
CKH 精洗,精洗
CKH 线切割,线切割
CKH 线切割检验,线切割检验
CKH 终检,终检
CKH 菌检,菌检
CKH 装箱,装箱
CKH 装箱检验,装箱检验
CKH 装配,装配
CKH 装配_打标_包装,激光打标
CKH 装配检验,装配检验
CKH 车(中心),车削中心
CKH 车(中心)检验,车削中心检验
CKH 车(数),数控车
CKH 车(数)检验,数控车检验
CKH 车(普),普通车削
CKH 车(普)检验,普通车削检验
CKH 车(纵切),纵切车
CKH 车(纵切)检验,纵切车检验
CKH 辐照灭菌-外协,辐照灭菌
CKH 过程清洗,清洗
CKH 进货检验,进货检验
CKH 酒精清洗,清洗
CKH 钝化,钝化
CKH 钳工,钳工
CKH 钳工_装配,钳工
CKH 钳工_装配(OEM),钳工
CKH 钳工_装配检验,钳工_装配检验
CKH 钳工检验,钳工检验
CKH 钻(深孔),深孔钻
CKH 钻(深孔)检验,深孔钻检验
CKH 钻深孔-可外协,深孔钻
CKH 铣(中心),铣削中心
CKH 铣(中心)检验,铣削中心检验
CKH 铣(数),数控铣
CKH 铣(数)检验,铣(数)检验
CKH 铣(普),普通铣削
CKH 铣(普)检验,普通铣削检验
CKH 阳极氧化,阳极氧化
CKH 阳极氧化-外协,阳极氧化
CKH 阳极氧化检验,阳极氧化检验
CKH 非真空热处理,非真空热处理
CKH 非真空热处理-可外协,非真空热处理
CKH 非真空热处理-外协,非真空热处理
CKH 领料,领料
CZM Preparation step,Preparation step
CZM 五轴磨（可外协）,五轴磨
CZM 包装,包装
CZM 喷砂,喷砂
CZM 外圆磨（外协）,外圆磨
CZM 多轴车铣复合,数控铣
CZM 平面磨,平面磨
CZM 微喷砂,微喷砂
CZM 折弯,折弯
CZM 抛光,抛光
CZM 数控车,数控车
CZM 数控车（可外协）,数控车
CZM 数控铣,数控铣
CZM 数控铣（可外协）,数控铣
CZM 无心磨,无心磨
CZM 无心磨（可外协）,无心磨
CZM 氩弧焊,氩弧焊
CZM 注塑,注塑
CZM 涂层（外协）,涂层
CZM 涂色,涂色
CZM 深孔钻,深孔钻
CZM 深孔钻（可外协）,深孔钻
CZM 清洗,清洗
CZM 激光打标,激光打标
CZM 激光焊接,激光焊接
CZM 激光焊接（可外协）,激光焊接
CZM 点钝化,点钝化
CZM 电火花（外协）,电火花
CZM 电解,电解
CZM 电解去氢,电解去氢
CZM 电解（外协）,电解
CZM 真空热处理,真空热处理
CZM 真空热处理（可外协）,真空热处理
CZM 研磨,研磨
CZM 纵切车,纵切车
CZM 纵切车（可外协）,纵切车
CZM 线切割,线切割
CZM 线切割-慢丝（可外协）,线切割
